DEALER ID,Cibil Score,TOTAL ASSET COST,ASSET CTG,ASSET MODEL NO,MARITAL STATUS,GENDER,ADDRESS TYPE,EMPLOY CONSTITUTION,EMPLOYER TYPE,phone_digitalage,Application Status
106989,726.0,95041.0,MCEXA,139542,Married,Male,Parental,SALARIED,SALARIED,5324.0,1
108975,725.0,94404.0,EMECA,140208,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,Non-Government,1998.0,1
111004,737.0,119436.0,SCEXA,160001,Single,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,-1.0,1
192020,713.0,87000.0,MCECA,160832,Single,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
55095,669.0,94404.0,ESNRC,174641,Married,Male,Rented,SELF-EMPLOYED,SALARIED,1998.0,0
200558,725.0,94404.0,EMECA,198364,Single,Female,OWNDED-FLAT,SELF-EMPLOYED,SALARIED,1998.0,1
100398,725.0,112562.0,MCEXA,178903,Married,Male,Rented,SALARIED,SALARIED,750.0,1
86942,762.0,94404.0,ESECB,143607,Single,Male,Rented,SELF-EMPLOYED,SALARIED,1998.0,0
80787,725.0,78120.0,MCECA,138383,Married,Male,RESIDENCE,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
198431,725.0,109500.0,MCEXA,149668,Single,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1988.0,1
78043,725.0,68628.0,MOECA,155457,Married,Male,Rented,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
112019,798.0,94404.0,MCECC,138383,Married,Male,RESIDENCE,SALARIED,SALARIED,2401.0,0
81711,725.0,94404.0,EMECA,139543,Single,Male,RESIDENCE,SELF-EMPLOYED,SELF-EMPLOYED,1988.0,0
87729,725.0,94404.0,MCEXA,139744,Single,Male,RESIDENCE,SALARIED,Non-Government,140.0,1
82997,521.0,94404.0,MOECA,175954,Married,Male,RESIDENCE,SALARIED,Non-Government,548.0,0
200191,615.0,94404.0,MCPRA,160892,Married,Male,RESIDENCE,SELF-EMPLOYED,SALARIED,61.0,0
71825,725.0,118175.0,SCECA,160214,Single,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1988.0,1
110186,725.0,95186.0,SCEXA,124650,Married,Male,Rented,SALARIED,SALARIED,1998.0,1
74527,573.0,95360.0,MCECA,199546,Married,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,2392.0,1
195779,725.0,92500.0,MCECA,140212,Married,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1248.0,1
192868,661.0,94404.0,MOECA,170161,Single,Male,Self/Spouse Owned,SELF-EMPLOYED,Non-Government,419.0,0
111132,700.0,94404.0,EMECA,143240,Single,Male,OWNED-PENTHOUSE,SALARIED,SALARIED,2587.0,1
197500,753.0,97306.0,MCECB,140682,Married,Male,Rented,SALARIED,SALARIED,1262.0,1
101471,753.0,103539.0,MCEXA,129101,Married,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,2396.0,1
79449,719.0,94404.0,MOECA,143240,Single,Female,OWNED-BUNGLOW,SELF-EMPLOYED,SELF-EMPLOYED,1126.0,1
86133,725.0,70212.0,MOECA,139540,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,2396.0,1
87786,751.0,89388.0,MCECA,160832,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
100667,599.0,94404.0,MCEXA,149668,Single,Male,Parental,SELF-EMPLOYED,SALARIED,2396.0,0
189868,681.0,78235.0,MCECC,143232,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1205.0,1
95590,725.0,94404.0,EMECA,143624,Single,Male,RESIDENCE,SELF-EMPLOYED,SELF-EMPLOYED,426.0,1
89496,725.0,97980.0,MCECA,200863,Married,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,510.0,1
80961,725.0,94404.0,MOECA,139542,Single,Female,Company Provided,SALARIED,Non-Government,5084.0,1
73328,725.0,67924.0,MCECB,143233,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1256.0,1
98077,769.0,97050.0,MCEXA,143237,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,2401.0,1
76280,725.0,90629.0,MCECA,199546,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,5066.0,1
108422,725.0,104369.0,MCEXA,129101,Married,Male,Parental,SALARIED,SALARIED,1998.0,1
79245,725.0,94404.0,SCEXA,139543,Single,Male,RESIDENCE,SELF-EMPLOYED,SELF-EMPLOYED,228.0,0
108060,747.0,94404.0,MCEXA,138383,Married,Male,PARENT OWNED-FLAT,SELF-EMPLOYED,SELF-EMPLOYED,2402.0,0
80420,785.0,91054.0,SCECA,174641,Married,Female,Self/Spouse Owned,SALARIED,SALARIED,112.0,1
195040,725.0,94404.0,SCEXA,140208,Single,Male,RESIDENCE,SELF-EMPLOYED,Non-Government,1998.0,1
96977,611.0,94404.0,MCEXA,143232,Single,Male,PARENT OWNED-HOUSE,SALARIED,SALARIED,982.0,0
74526,760.0,94404.0,SCEXA,134123,Single,Male,OWNDED-FLAT,SALARIED,Non-Government,830.0,1
98843,632.0,94404.0,EMECA,139543,Married,Male,Parental,SELF-EMPLOYED,Non-Government,1998.0,0
73970,725.0,94404.0,MOECA,145122,Married,Male,Rented,SELF-EMPLOYED,SALARIED,1815.0,0
94057,725.0,92551.0,MCECA,199546,Married,Male,Parental,SALARIED,SALARIED,1988.0,1
200249,775.0,100800.0,MCEXA,129102,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
103520,677.0,94404.0,EMECA,134124,Single,Male,RESIDENCE,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,0
81393,725.0,92905.0,MCECA,199546,Married,Female,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,4640.0,1
65023,682.0,94404.0,MCPRA,134124,Married,Male,OWNED-PENTHOUSE,SELF-EMPLOYED,Government,1998.0,0
101144,766.0,94404.0,MCPRA,139744,Married,Male,OWNED-BUNGLOW,SALARIED,SELF-EMPLOYED,1725.0,1
108975,767.0,95717.0,MCEXA,143238,Married,Male,RESIDENCE,SALARIED,Non-Government,1988.0,1
76653,724.0,94404.0,MCECB,134121,Married,Male,RESIDENCE,SALARIED,SALARIED,809.0,1
79245,605.0,94404.0,MOECA,129101,Single,Male,OWNED-PENTHOUSE,SELF-EMPLOYED,Government,809.0,0
80961,725.0,94404.0,MCPRA,139542,Single,Male,OWNED-ROWHOUSE,SELF-EMPLOYED,SELF-EMPLOYED,1619.0,1
96624,725.0,79041.0,MCECA,134121,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1988.0,1
73665,725.0,88650.0,SCECA,145941,Married,Female,Parental,SALARIED,SALARIED,1988.0,1
109442,684.0,94404.0,EMECA,140682,Married,Male,RENTED-ROWHOUSE,SELF-EMPLOYED,SALARIED,1998.0,0
196317,725.0,94404.0,ESNRB,139542,Single,Male,RESIDENCE,SALARIED,SELF-EMPLOYED,1988.0,0
81126,725.0,94404.0,MCECA,134897,Married,Female,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
89496,725.0,93326.0,MCECA,140208,Single,Male,Parental,SALARIED,SALARIED,344.0,1
86068,639.0,94404.0,ESECB,143233,Single,Male,PARENT OWNED-HOUSE,SELF-EMPLOYED,Government,872.0,0
87729,725.0,78245.0,MOECA,166536,Single,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
96043,732.0,94404.0,EMECA,140212,Married,Female,RESIDENCE,SALARIED,Non-Government,1954.0,1
53710,718.0,94404.0,MCEXB,124648,Married,Female,OWNDED-FLAT,SELF-EMPLOYED,SALARIED,912.0,1
64116,744.0,118639.0,SCECA,185294,Single,Male,Rented,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
85466,728.0,94404.0,SCEXA,145942,Single,Female,RESIDENCE,SALARIED,Government,3439.0,0
76280,725.0,90629.0,MCECA,199546,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1262.0,1
201419,725.0,89996.0,MCECA,200863,Married,Male,Parental,SALARIED,SALARIED,1998.0,1
82658,670.0,94404.0,SCEXA,129101,Single,Male,OWNED-ROWHOUSE,SELF-EMPLOYED,Government,828.0,0
103461,740.0,94404.0,SCEXA,139546,Single,Male,PARENT OWNED-HOUSE,SELF-EMPLOYED,SELF-EMPLOYED,947.0,1
107820,727.0,94404.0,EMECA,185293,Single,Male,PARENT OWNED-HOUSE,SALARIED,Non-Government,2240.0,0
112879,725.0,83600.0,MCECA,134122,Married,Female,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1004.0,1
113299,725.0,91246.0,MCECA,199546,Married,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1939.0,1
190304,725.0,94404.0,MOECA,143615,Married,Male,Company Provided,SELF-EMPLOYED,SALARIED,543.0,1
77425,725.0,85780.0,MCECA,140212,Married,Male,Parental,SALARIED,SALARIED,331.0,1
191670,705.0,177324.0,MCPRA,184240,Single,Male,Parental,SALARIED,SALARIED,1988.0,1
107519,724.0,76570.0,MOECA,155457,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1030.0,1
108392,725.0,94404.0,SCEXA,184458,Single,Female,OWNED-ROWHOUSE,SALARIED,Government,331.0,0
64573,585.0,94404.0,MCECB,145121,Single,Male,PARENT OWNED-HOUSE,SELF-EMPLOYED,Non-Government,1988.0,0
84738,725.0,94404.0,ESECB,124650,Married,Male,RENTED-ROWHOUSE,SALARIED,Government,2121.0,0
82763,601.0,94404.0,MCEXA,139810,Single,Male,Self/Spouse Owned,SALARIED,Government,1030.0,0
199872,649.0,94404.0,MCEXB,183085,Married,Male,RENTED-ROWHOUSE,SELF-EMPLOYED,Government,516.0,0
109463,725.0,94404.0,ESECB,134121,Single,Male,RESIDENCE,SELF-EMPLOYED,SALARIED,1998.0,0
92759,765.0,94404.0,MOECA,142832,Single,Male,OWNDED-FLAT,SALARIED,Non-Government,3439.0,0
200248,794.0,126031.0,ESECB,198319,Married,Female,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,612.0,1
78305,742.0,94404.0,MOECA,143616,Married,Male,RESIDENCE,SALARIED,SALARIED,5.0,1
72838,725.0,94404.0,EMECA,139543,Single,Male,RESIDENCE,SELF-EMPLOYED,Non-Government,4171.0,1
108506,763.0,94404.0,SCEXA,178903,Married,Male,OWNED-PENTHOUSE,SELF-EMPLOYED,Non-Government,1998.0,0
82370,751.0,92107.0,MCECA,140208,Single,Male,Parental,SALARIED,SALARIED,1998.0,1
83459,609.0,94404.0,ESNRC,143240,Married,Male,RESIDENCE,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,0
198920,725.0,94404.0,ESECB,160001,Married,Male,RESIDENCE,SELF-EMPLOYED,Government,561.0,0
109236,786.0,109000.0,MCEXA,129101,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
75358,668.0,94404.0,ESNRC,174331,Married,Male,OWNDED-FLAT,SALARIED,SELF-EMPLOYED,853.0,0
75325,775.0,97080.0,MCEXA,139543,Married,Male,RESIDENCE,SALARIED,Non-Government,1988.0,1
90828,650.0,94404.0,MOECA,133251,Married,Male,RESIDENCE,SELF-EMPLOYED,Government,1998.0,0
107872,600.0,94404.0,ESECB,153778,Single,Male,Company Provided,SELF-EMPLOYED,Government,1938.0,0
69867,741.0,150100.0,MCEXA,149670,Single,Male,Self/Spouse Owned,SALARIED,SALARIED,1998.0,1
81309,725.0,94404.0,ESNRC,143624,Married,Male,Rented,SELF-EMPLOYED,Government,-1.0,0
92276,725.0,107100.0,MCEXA,149668,Married,Female,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1653.0,1
198831,725.0,87158.0,MCECA,140208,Single,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
73328,672.0,94404.0,ESECB,143232,Single,Male,PARENT OWNED-FLAT,SELF-EMPLOYED,Non-Government,456.0,0
85881,736.0,72985.0,MCECA,145122,Married,Male,Parental,SALARIED,SALARIED,455.0,1
198831,725.0,87058.0,MCECA,140208,Single,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
75327,740.0,94404.0,MCEXA,134119,Single,Male,PARENT OWNED-HOUSE,SELF-EMPLOYED,Non-Government,2266.0,1
111306,621.0,94404.0,EMECA,149668,Single,Male,OWNED-BUNGLOW,SALARIED,Government,108.0,0
95590,725.0,93228.0,MCECA,199546,Single,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,327.0,1
77503,746.0,96503.0,MCECA,200862,Single,Male,Rented,SALARIED,SALARIED,1965.0,1
97418,694.0,94404.0,MCEXB,174331,Single,Male,Self/Spouse Owned,SALARIED,SELF-EMPLOYED,427.0,0
84622,715.0,110308.0,MCEXA,143607,Single,Male,Parental,SALARIED,SALARIED,752.0,1
64212,697.0,94404.0,SCEXA,160214,Single,Male,RESIDENCE,SELF-EMPLOYED,Non-Government,1998.0,0
109455,761.0,94404.0,MCPRA,129102,Single,Male,OWNED-BUNGLOW,SALARIED,SALARIED,809.0,1
82940,725.0,100104.0,MCEXA,175683,Single,Male,Parental,SELF-EMPLOYED,SELF-EMPLOYED,1641.0,1
71548,725.0,94404.0,MCEXB,160001,Married,Male,RESIDENCE,SELF-EMPLOYED,SELF-EMPLOYED,2038.0,0
196135,725.0,90597.0,MCECA,199546,Married,Male,Self/Spouse Owned,SALARIED,SALARIED,304.0,1
79092,679.0,94404.0,EMECA,149668,Single,Male,RESIDENCE,SELF-EMPLOYED,Non-Government,783.0,0
196629,725.0,87758.0,MCECA,140212,Married,Male,Self/Spouse Owned,SELF-EMPLOYED,SELF-EMPLOYED,1998.0,1
76280,725.0,97905.0,MCEXA,143950,Married,Male,Self/Spouse Owned,SALARIED,SALARIED,-1.0,1
